,Player,Nation,Pos,Age,90s,total_Cmp,total_Att,total_Cmp%,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp%,medium_Cmp,medium_Att,medium_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,expected_xA,expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,Team,Season
104,Ander Herrera,es ESP,MF,35-268,3.0,181,200,90.5,2856,628,94,101,93.1,73,82,89.0,10,13,76.9,0,0.1,0.3,-0.1,2,25,1,0,16,Matches,Athletic Club,2024
105,Peio Canales,es ESP,"MF,FW",20-112,2.1,65,80,81.3,1044,131,33,37,89.2,25,29,86.2,4,11,36.4,0,0.1,0.1,-0.1,2,5,2,0,5,Matches,Athletic Club,2024
106,Nicolás Serrano,es ESP,FW,22-065,1.2,25,44,56.8,342,90,14,18,77.8,11,15,73.3,0,9,0.0,0,0.0,0.1,0.0,1,2,1,1,4,Matches,Athletic Club,2024
107,Javi Martón,es ESP,"FW,MF",26-003,0.6,6,7,85.7,68,2,4,5,80.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,Athletic Club,2024
108,Adu Ares,es ESP,FW,23-209,0.2,5,9,55.6,64,15,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,3,Matches,Athletic Club,2024
109,Endika Buján,es ESP,FW,22-113,0.1,4,5,80.0,41,12,4,4,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,Athletic Club,2024
110,Diego Llorente,es ESP,DF,31-266,28.0,1383,1595,86.7,27425,8921,407,446,91.3,819,872,93.9,147,249,59.0,0,0.3,0.4,-0.3,6,68,3,0,81,Matches,Real Betis,2024
111,Johnny Cardoso,us USA,MF,23-231,21.7,843,991,85.1,12816,3227,463,514,90.1,311,351,88.6,41,64,64.1,1,0.9,0.8,0.1,8,52,4,0,64,Matches,Real Betis,2024
112,Marc Bartra,es ESP,DF,34-114,20.5,845,1043,81.0,17004,5787,286,304,94.1,437,485,90.1,110,224,49.1,1,0.1,0.2,0.9,3,52,5,1,58,Matches,Real Betis,2024
113,Romain Perraud,fr FRA,DF,27-229,20.1,820,1043,78.6,11392,3932,501,554,90.4,250,317,78.9,29,80,36.3,2,1.4,1.2,0.6,14,53,13,9,55,Matches,Real Betis,2024
